batch,intent,question,faq_coverage,faq_source,source_url,find_in_source_ctrlF,faq_note,origin,seed_id,source_ref
Batch 1,biometric_capture,Can I capture my biometrics using my system's fingerprint reader?,Covered,MOBREG/PORTAL,,proxy,Must not be done by proxy; same fingers used at registration are checked at camp. Digital Persona U.are.U 4500 scanner required if doing biometrics outside an NYSC office.,original,S-0047,
Batch 1,senate_list_status,"My school says my name has been uploaded, but I cannot find it on the NYSC portal. What should I do?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0027,
Batch 1,relocation_general_process,How long does online redeployment approval take?,Partial,PDF,,,Not addressed.,original,S-0049,
Batch 1,state_of_origin_correction,There is a mistake in my state of origin. Should I proceed with registration?,Not covered,-,,,Not addressed.,original,S-0050,
Batch 1,senate_list_status,I did not mobilize but my name is on the school list. Can I still mobilize and have my name uploaded to the NYSC site?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0051,
Batch 1,senate_list_status,"On the Senate verification list, another person's name appears with my other details. Can I proceed with registration?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0052,
Batch 1,senate_list_status,My name is on the Senate approved list in my school but shows no record on the NYSC website. What can I do?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0027,
Batch 1,jamb_number_issue,My JAMB number does not exist on the NYSC portal. What should I do?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Matriculation,"If matriculation/JAMB number already exists as an issue, contact your institution directly (not NYSC).",original,S-0054,
Batch 1,name_correction,I have two conflicting middle names between my records. How can I resolve it?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0055,
Batch 1,revalidation,"If I don't report to camp with my assigned stream, will my state change when I revalidate?",Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,revalidate,Revalidation opens when the online registration portal reopens (mentioned specifically re: graduation-date correction cases).,original,S-0056,
Batch 1,statement_of_result_requirement,Are LASU students allowed to register with a notification of result instead of a statement of result?,Not covered,-,,,Not addressed.,original,S-0057,
Batch 1,medical_fitness_report,How much does it cost to get a medical fitness certificate?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Health Ground,For health-ground concessional deployment: upload medical report from a Federal or State General Hospital plus doctor's details.,original,S-0058,
Batch 1,logistics_belongings_mixed_up,Are there challenges like people's clothes getting mixed up in orientation camp?,Not covered,-,,,Not addressed.,original,S-0059,
Batch 1,logistics_general_experience,How is the camp experience truly like?,Not covered,guide,,,Not addressed.,original,S-0060,
Batch 1,nhis_health_insurance,Are NYSC corps members included in NHIS?,Not covered,-,,,"Note: nysc.gov.ng has a separate 'NHIA Enrolment' page linked in the nav, but no FAQ content on it was retrieved.",original,S-0061,
Batch 1,remobilization_after_abandon,Can someone ghost their NYSC service year?,Not covered,-,,,No remobilization/abandonment process described.,original,S-0062,
Batch 1,ppa_course_matching,Can I be posted to a particular organization for my PPA based on my course?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0063,
Batch 1,work_side_hustle_during_service,Can I work during my NYSC service year?,Not covered,-,,,Not addressed.,original,S-0064,
Batch 1,posting_influence,Can I choose where I want to do my PPA?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0065,
Batch 1,docs_required_at_camp,Can I report to camp without the original certificate if I have a statement of result?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,original,Foreign graduates: bring all original uploaded documents + translated certificate. Medical graduates: bring practice license. Failure leads to registration cancellation and no PPA posting.,original,S-0066,
Batch 1,state_of_origin_correction,Can I continue with NYSC registration if there is an error in my state of origin?,Not covered,-,,,Not addressed.,original,S-0067,
Batch 1,ppa_change_request,Can my NYSC posting be changed after I have already been posted?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 1,statement_of_result_requirement,Can I use a notification of result instead of a statement of result for NYSC registration?,Not covered,-,,,Not addressed.,original,S-0069,
Batch 1,batch_stream_timing,How do NYSC group people into the different batches?,Covered,PDF/MOBREG,,,Not addressed.,original,S-0070,
Batch 1,batch_stream_timing,Do I have to register immediately if I want to join a later batch?,Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0070,
Batch 1,batch_stream_timing,When is the next NYSC mobilization?,Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0072,
Batch 1,ppa_change_request,Can I change my PPA after accepting it and completing my documentation?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 1,reporting_deadline_after_camp,What is the maximum number of days I can stay before reporting to my PPA?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,,Not addressed.,original,S-0074,
Batch 1,remobilization_after_abandon,What is remobilization?,Not covered,-,,,No remobilization/abandonment process described.,original,S-0075,
Batch 1,cds_general,Can you recommend a good CDS group that can add value to my CV?,Not covered,-,,,Not addressed (CDS is a named department at nysc.gov.ng/cds.html but no FAQ content retrieved).,original,S-0076,
Batch 1,ppa_change_request,Can I change my PPA after completing documentation at the secretariat?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 1,ppa_accommodation,Does my PPA have to provide accommodation?,Not covered,-,,,Not addressed.,original,S-0078,
Batch 1,allowance_amount,Is the first month allowance paid physically in NYSC camp?,Not covered,guide,,,Not addressed.,original,S-0079,
Batch 1,change_local_government,Can I change my local government after relocation?,Not covered,-,,,Not addressed.,original,S-0080,
Batch 1,post_relocation_process,"After relocating, do I need to return to the NYSC secretariat before my PPA appears?",Not covered,-,,,Not addressed.,original,S-0081,
Batch 1,post_relocation_process,Do I need to go back to the secretariat for ID card and bank account documentation after relocation?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Marriage Certificate,"To relocate to husband's state: Marriage Certificate, Newspaper publication for change of name, Letter from husband's employer, husband's means of ID.",original,S-0082,
Batch 1,post_relocation_process,How long does it take for a relocated corps member's PPA to appear?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Relocation after Camp,'Application for Relocation after Camp' is listed as a dashboard self-service; full step-by-step process not detailed.,original,S-0083,
Batch 1,post_relocation_process,I got relocated but my PPA has not appeared on my dashboard. What should I do?,Not covered,-,,,Not addressed.,original,S-0084,
Batch 1,relocation_general_process,Will missing clearance in my former state affect my relocation?,Partial,PDF,,,Not addressed.,original,S-0085,
Batch 1,relocation_general_process,"After relocation, which state will query me for missed clearance?",Partial,PDF,,,Not addressed.,original,S-0086,
Batch 1,jamb_regularization,Can I register for NYSC while waiting for JAMB regularization to reflect?,Not covered,-,,,Not addressed.,original,S-0087,
Batch 1,name_correction,Can I register for NYSC if my name correction has not yet been effected?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0088,
Batch 1,name_correction,Can I still register for Stream 1 while waiting for a name correction?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0089,
Batch 1,direct_posting,Is direct posting still available for newly registering corps members?,Not covered,-,,,Not addressed.,original,S-0090,
Batch 1,batch_stream_timing,Is mobilization based on when I register online or random selection?,Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0070,
Batch 1,serve_at_current_workplace,I have a place of work already in my state of deployment. Can I continue working there instead of going to my assigned PPA?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-0092,
Batch 1,ppa_change_request,Can I change my PPA even after doing documentation at my former PPA's LGA?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 1,posting_influence,"How can I get a PPA in Port Harcourt, preferably an engineering company?",Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0044,
Batch 1,biometric_capture,My biometric clearance portal has closed because my LGI was unavailable. Will this affect my allowance?,Covered,MOBREG/PORTAL,,proxy,Must not be done by proxy; same fingers used at registration are checked at camp. Digital Persona U.are.U 4500 scanner required if doing biometrics outside an NYSC office.,original,S-0095,
Batch 1,ppa_course_matching,Can I be posted to a particular PPA based on my course of study?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0096,
Batch 1,ppa_ngo_service,Can I serve in an NGO instead of the PPA NYSC assigns me?,Not covered,-,,,Not addressed.,original,S-0097,
Batch 1,posting_influence,Can I choose my PPA myself?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0065,
Batch 1,serve_at_current_workplace,Will NYSC post me to an organization where I already have a job?,Not covered,-,,,Not addressed.,original,S-0099,
Batch 1,olevel_fslc_requirement,Is FSLC needed in NYSC camp?,Not covered,-,,,Not addressed.,original,S-0100,
Batch 1,direct_posting,Is call-up number still used for direct posting or is NIN now used?,Not covered,-,,,Not addressed.,original,S-0101,
Batch 1,callup_number_delay,Why is my call-up number taking so long to reflect?,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0102,
Batch 1,age_eligibility,My NIN age is above 30 but my graduation age was below 30. Can I still apply for NYSC?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,original,S-0103,
Batch 1,name_correction,"If the names on my NIN and statement of result are different from the name on JAMB, what should I do?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0104,
Batch 1,dob_discrepancy_correction,My WAEC date of birth is wrong while my JAMB date is correct. Can an affidavit solve this during NYSC mobilization?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,original,S-0105,
Batch 1,exemption_certificate,Can someone currently serving write to NYSC headquarters to defer service and request an exemption letter after securing a paramilitary job?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Exemption Certificate,Nigeria-trained: collect from institution; corrections only allowed within 3 months of online registration date. Foreign-trained: come to NYSC HQ with original documents for clearance and collection.,original,S-0106,
Batch 1,ppa_change_request,Can I remain at my old PPA after a PPA change has already reflected on my dashboard?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-0107,
Batch 1,ppa_change_request,Will staying at my former PPA affect my final clearance after a PPA change?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-0107,
Batch 1,ppa_change_request,Is changing PPA through the CLO an official process?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-0109,
Batch 1,docs_required_at_camp,Does NYSC accept a statement of result stained with palm oil?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,original,Foreign graduates: bring all original uploaded documents + translated certificate. Medical graduates: bring practice license. Failure leads to registration cancellation and no PPA posting.,original,S-0110,
Batch 1,age_eligibility,I am already above 30 but graduated before turning 30. Can I still get an exemption certificate?,Not covered,-,,,No age-eligibility rule stated in these specific FAQ sources.,original,S-0111,
Batch 1,batch_stream_timing,Will Batch C still be going to camp this year?,Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0072,
Batch 1,jamb_number_issue,My name is on the Senate list and graduation list but not on the matriculation list. Can I still register?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0113,
Batch 1,senate_list_status,Am I supposed to see my details on the verified Senate list before mobilization starts?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0114,
Batch 1,senate_list_status,Is it possible for my name to be on the Senate list but not on the graduate list?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0115,
Batch 1,jamb_documents_requirement,Do I need my original JAMB result and JAMB admission letter for NYSC?,Not covered,guide,,,No explicit list of required JAMB documents.,original,S-0116,
Batch 1,direct_posting,Does direct posting still work?,Not covered,-,,,Not addressed.,original,S-0117,
Batch 1,profile_data_error,My degree was wrongly written as Bachelor of Art instead of Bachelor of Science on my NYSC profile. Will it affect camp documentation?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Class of Degree,Class of Degree and Qualification corrections follow the same dashboard flow as course correction; approval is by institution's SAO.,original,S-0118,
Batch 1,name_correction,How long does NYSC name rearrangement approval take?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0119,
Batch 1,name_correction,I applied for name rearrangement over two weeks ago and my call-up letter is about to come out. Should I wait or contact my school?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0120,
Batch 1,dob_discrepancy_correction,My date of birth is incorrect on the NYSC portal but the WAEC verification correction link is unavailable. What should I do?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,original,S-0121,
Batch 1,registration_documents_general,What does an HND graduate need for NYSC registration?,Covered,MOBREG,https://www.nysc.gov.ng/mobreg.html,Requirements,"Functional email + Nigerian GSM number, correct matriculation number, name must appear on Senate list, compliant passport photo (white/off-white background, full face, centered).",original,S-0122,
Batch 1,portal_open_registration_window,When will NYSC registration open again?,Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0123,
Batch 1,docs_required_at_camp,My school has not released our statements of result and camp registration is today. What can I do?,Covered,PDF,,,Not addressed.,original,S-0124,
Batch 1,foreign_graduate_verification,Can I register for NYSC with an online degree from a foreign university?,Covered,PDF/MOBREG,,Foreign,"Foreign graduates must bring original uploaded documents plus translated certificate to camp; verification now happens at camp, not HQ. See foreignmobreq.html for full requirements.",original,S-0125,
Batch 1,direct_posting,Does NYSC accept direct posting to a tech company?,Not covered,-,,,Not addressed.,original,S-0126,
Batch 1,ppa_registration_status,How can I find PPAs registered with NYSC in a particular state?,Not covered,-,,,Not addressed.,original,S-0127,
Batch 1,allowance_amount,Do Federal Government Colleges pay corps members?,Not covered,guide,,,Not addressed.,original,S-0128,
Batch 1,ppa_course_matching,Can a civil engineering graduate get a good PPA in Ogun State?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0129,
Batch 1,medical_fitness_report,"Must HCV, meningitis vaccination and age compulsorily appear on the medical fitness report?",Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Health Ground,For health-ground concessional deployment: upload medical report from a Federal or State General Hospital plus doctor's details.,original,S-0130,
Batch 1,callup_number_delay,I did NYSC registration yesterday but I'm yet to see my call-up number. What should I do?,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0014,
Batch 1,callup_number_vs_letter,Would I be deployed without seeing my call-up number on my dashboard?,Partial,MOBREG,https://www.nysc.gov.ng/mobreg.html,SMS,Paying the fee gets call-up number via SMS + online letter printing; not paying means collecting both from school instead.,original,S-0132,
Batch 1,ppa_rejection_reposting,Can I still do my clearance thumbprint if I have been rejected by my PPA and am waiting for reposting?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-0133,
Batch 1,ppa_change_request,How do I change my PPA after four months?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 1,remobilization_after_abandon,Please enlighten me on what remobilization is about?,Not covered,-,,,No remobilization/abandonment process described.,original,S-0075,
Batch 1,ppa_change_request,Can I change my PPA after acceptance and completion of my file at the secretariat?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 1,reporting_deadline_after_camp,What is the maximum number of days one can stay before reporting to one's PPA?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,,Not addressed.,original,S-0137,
Batch 1,ppa_change_request,Can I change my PPA after six months?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 1,docs_required_at_camp,My school has not released our statement of result and camp registration is today. What can I do?,Covered,PDF,,,Not addressed.,original,S-0124,
Batch 1,ppa_change_request,Can I change my PPA after six months if my PPA is very far?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 1,change_local_government,Can I change local government after posting?,Not covered,-,,,Not addressed.,original,S-0141,
Batch 1,relocation_general_process,Can a relocated state be changed?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Relocation after Camp,'Application for Relocation after Camp' is listed as a dashboard self-service; full step-by-step process not detailed.,original,S-0142,
Batch 1,relocation_general_process,I paid someone for Ogun but my portal shows Kwara state. Can the relocated state still change?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Relocation after Camp,'Application for Relocation after Camp' is listed as a dashboard self-service; full step-by-step process not detailed.,original,S-0142,
Batch 1,portal_open_registration_window,Is the NYSC portal open for registration?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Mobilization Time Table,Timetable for registration windows published at nysc.gov.ng/mobtable.html.,original,S-0143,
Batch 1,relocation_general_process,Can I do the clearance with my LGI without first printing my relocation letter?,Partial,PDF,,,Not addressed.,original,S-0144,
Batch 1,post_relocation_process,Do I need to go back to the NYSC secretariat to continue registration after relocation?,Not covered,-,,,Not addressed.,original,S-0082,
Batch 1,ppa_change_request,Can I change my PPA in Nasarawa state?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-0146,
Batch 1,ppa_course_matching,Can I get a good PPA in Ogun State as a pharmacology graduate?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0147,
Batch 1,change_local_government,How possible is it to change local government after posting?,Not covered,-,,,Not addressed.,original,S-0148,
Batch 1,senate_list_status,When will the uploading of graduates into the Senate list end?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0149,
