seed_id,intent,question,answer,terminal,kind
S-0598,relocation_general_process,Can pregnancy or nursing a baby be a ground,"No, neither is a relocation ground. Pregnant and nursing corps members go through the separate camp exemption track, where they complete camp registration and kit collection then leave, and they are still posted to a PPA like everyone else. Only a genuine additional medical complication becomes a health ground case.",yes,answer
S-0730,relocation_general_process,Which documents does each ground require,"Three grounds, three document sets. Health needs a medical report from a government hospital with the doctor's details and your specific condition. Marital needs a registry marriage certificate, your husband's ID, proof of his residence such as a domicile letter or utility bill, and change of name evidence if it applies. Security needs a written statement of the specific threat with supporting evidence. Upload them through the Relocation tab at up to 200kb each.",,answer
S-1222,relocation_general_process,"My dashboard does not list health as a ground, can I still apply on it","Yes. Health is an accepted ground whatever the dashboard is showing you, so take it to your state secretariat rather than filing under a ground that does not apply to you. Bring the medical report from a government hospital, with the doctor's details and your specific condition on it.",,answer
S-1240,relocation_general_process,"The portal only offers marital and security and I have neither, can I still be redeployed","No. Health, marital and security are the grounds, and without one of them there is no application to make. If you do have a health case, that counts even when the dashboard does not list it, and your state secretariat is where to take it.",yes,answer
S-0919,relocation_general_process,"Does a church or traditional marriage certificate count, and what if mine is still processing","No, only a registry marriage certificate counts, and nothing substitutes for it while it is being processed. Alongside it you need your husband's ID, proof of his residence such as a domicile letter or utility bill, and change of name evidence if it applies.",,answer
S-0968,relocation_general_process,Is an introduction letter from my husband's workplace required,"No, it is not a standard requirement. The consistently required set is a registry marriage certificate, your husband's ID, proof of his residence such as a domicile letter or utility bill, and change of name evidence if it applies. Provide an introduction letter only if your own state office asks for it.",,answer
S-0921,relocation_general_process,Can I relocate because I am married,"Yes. Marriage is one of the three accepted grounds, and your husband's job makes no difference to it, soldier or otherwise. You need a registry marriage certificate, his ID, proof of his residence such as a domicile letter or utility bill, and change of name evidence if it applies. It is for married female corps members.",,answer
S-0732,relocation_general_process,Can I choose any state I want,"No. You cannot be relocated to Lagos, Abuja, your state of origin or your state of study. Among the states that are left, what you get is not guaranteed to be your first choice, and an in camp relocation can send you somewhere else nearby if your preferred state has no space.",,answer
S-0026,relocation_general_process,Can I be redeployed to my state of origin,"No. Your state of origin is excluded, in camp and after camp alike. Lagos, Abuja and your state of study are excluded on the same footing.",,answer
S-0594,relocation_general_process,Can I relocate to Lagos or Abuja,"Neither is available. Both are excluded outright rather than merely hard to get, so there is no success rate to weigh against direct posting. Your state of origin and your state of study are excluded the same way.",,answer
S-0731,relocation_general_process,Can I apply again after my relocation was rejected,"Yes. There is no one shot rule, so a rejection does not close it, and each new attempt starts the clearance and printing steps over from scratch.",,answer
S-0733,relocation_general_process,What happens if my relocation is not approved,"You stay in the state you are in, and nothing else follows from it. You can apply again afterwards, since there is no one shot rule, and each new attempt starts the clearance and printing steps over.",,answer
S-0299,relocation_general_process,How do I cancel a relocation request,"You can. If you are still in camp, ask your platoon officer or the camp commandant to cancel it. After camp, write a formal cancellation letter to your state coordinator. Check that the cancellation actually shows on your dashboard rather than assuming it went through, and you can apply again afterwards.",,answer
S-0142,relocation_general_process,Can the state I was relocated to be changed,"Not directly. There is no edit for the state once it has been approved, so the route is to cancel and apply again, which starts the clearance and printing steps over. Cancel through your platoon officer or the camp commandant while you are in camp, or by a formal letter to your state coordinator after camp. Paying somebody to change it is not part of the process. The only payment is the fee on the portal when you print your letter.",,answer
S-0049,relocation_general_process,"How long does approval take, and is two weeks of pending normal","It depends on the ground, and two weeks is inside the normal range. Health commonly runs about 14 days once the after camp window is open, and urgent documented cases have gone through in about 2 days. Marital commonly runs 14 to 21 days. Security is often prioritised, and from Borno, Yobe or Adamawa it is fast tracked and often approved before camp ends.",,answer
S-0653,relocation_general_process,Why is mine still processing when other people have been approved,"Because the timing follows the ground rather than the order people applied in. Security is often prioritised, and fast tracked from Borno, Yobe and Adamawa. Health commonly runs about 14 days and marital 14 to 21 days. An in camp application works differently again, its result comes on the last day of camp.",,answer
S-0652,relocation_general_process,My relocation is still processing and camp is closing,"Camp closing is when you find out, not a sign it failed. An in camp result is released on the last day of camp, and it sometimes shows on your dashboard before then. If nothing comes through, the after camp route opens at the three month mark through the Relocation tab on your dashboard.",,answer
S-0249,relocation_general_process,How do I know whether my in camp application worked,"Results are released on the last day of camp, and they sometimes show on your dashboard before then. That is where you check, on the dashboard, rather than waiting on a message.",,answer
S-0843,relocation_general_process,What are the odds of an in camp application working,"There is no published success rate, so nobody can give you a number. What decides it is the ground you applied on and how well documented it is, and for a security case from Borno, Yobe or Adamawa the odds are better because those are fast tracked.",,answer
S-0420,relocation_general_process,I cannot print my letter because the State Coordinator has not cleared me,"You will not be able to until that clearance comes through, because it is what unlocks the print option. Chase the coordinator of the state you are leaving. It can take a few days to a few weeks, and going to the secretariat in person is usually faster than waiting on the portal. Print the letter in colour once it is through.",,answer
S-0591,relocation_general_process,Which State Coordinator has to clear me,"The coordinator of the state you are leaving, not the one you are moving to. Going in person is usually faster than waiting on the portal.",,answer
S-0593,relocation_general_process,Can my LGI do the relocation clearance for me,"No. Your LGI administers clearance and can mediate problems, but the clearance that unlocks printing comes from your previous state's coordinator, and relocation itself is processed centrally through the portal and the secretariats.",,answer
S-0590,relocation_general_process,The print option for my relocation letter has disappeared or never showed,"Not until your previous state's coordinator clears you, which is what makes the option appear. A payment going through does not change that. The clearance can take a few days to a few weeks, and the secretariat in person is usually faster than waiting on the portal. Print in colour once it appears.",,answer
S-1257,relocation_general_process,Where do I report once the relocation is successful,"Your new state's secretariat, not your old one, within 21 days of the approval. Missing that window can reverse the relocation automatically.",,answer
S-0651,relocation_general_process,Can I relocate without going back to my original state,"No. You have to be physically registered in your original state of deployment before a relocation can happen, so reporting there first is part of it.",,answer
S-0600,relocation_general_process,"Can somebody arrange the relocation for me, or do I need an agent","No, and you do not need one. You apply for it yourself through the portal, and the secretariats process it. The only payment in the process is the fee on the portal when you print your letter, so an offer to work it through for a fee is not part of how it runs.",,answer
S-0144,relocation_general_process,Can I do the clearance with my LGI without first printing my relocation letter,"No, the letter comes first. The clearance that unlocks printing comes from the coordinator of the state you are leaving, and your LGI cannot stand in for it. Once the letter is printed in colour you take it to your new state's secretariat within 21 days of approval, and clearance in the new state follows from there.",,answer
S-0251,relocation_general_process,Can I relocate back to the state I was originally deployed to,"Yes, provided that state is not Lagos, Abuja, your state of origin or your state of study, since those stay excluded on a second application as much as a first. There is no one shot rule, and each new attempt starts the clearance and printing steps over from scratch.",,answer
S-0252,relocation_general_process,Can I return to my previous PPA after relocating back,"Not automatically. Relocation moves your state, and your PPA is assigned again in the state you arrive in, so a previous PPA is not something a relocation carries back for you. The one lever is a PPA request letter, written by the organisation on its own letterhead to your State Coordinator and submitted through your LGI. That is a request rather than a guarantee.",,answer
S-0560,relocation_general_process,I left camp without documentation expecting my relocation to work and have now missed a clearance,"Two things to fix, and the reporting one is more urgent. A relocation cannot happen for somebody who never reported to their original state of deployment, so being physically registered there comes first, whatever the relocation was expected to do. On the missed month, take it to your LGI in writing as soon as you can and explain what happened, because a missed clearance handled early is commonly resolved while one left unexplained is what hardens into a query or an extension.",,answer
S-0805,relocation_general_process,"I am ill and I also want to be near my spouse, which ground do I use","Apply on the ground you can document, and put the full picture in the application. No rule states how two grounds combine in one request, so what carries it is the evidence: a medical report from a government hospital with the doctor's details and your specific condition for health, or a registry marriage certificate with your husband's ID and proof of his residence for marital. Where both are true, file under the one you can document better.",,answer
S-0737,relocation_general_process,"My relocation has not worked through, will I still be paid","Yes. A pending application does not change where you are serving, so your clearance and your allowance carry on in your current state on the normal cycle. The payment interruption people describe belongs to the switch itself, once you have actually moved and opened an account in the new state, not to waiting on a decision.",,answer
S-0282,posting_influence,Can I be posted to my state of origin or my state of study?,"No, neither one. Your state of origin and your state of study are both excluded from where you can be posted, and posting you away from home is the deliberate norm rather than an oversight. Growing up somewhere else or schooling somewhere else does not change which state counts as your origin. There is no unofficial route around it either, and paying anyone to arrange one is a scam.",,answer
S-0444,posting_influence,"Can I get a state I did not choose during registration, or work for a state afterwards?","No. There is no channel for requesting a state outside the ones you selected. The moment that decides this is registration itself, when you pick your preferred states, and nothing after that reopens the choice.",,answer
S-0238,posting_influence,What determines where I will be posted?,"Three things decide it: your course of study, the receiving state's needs, and quota. Your preferred state list feeds into the state side of it, and nothing else you do changes the outcome.

Worth knowing how that list is constrained, because it catches people out. Your whole geopolitical zone is off it, not just your state of origin and your state of study, and the four picks are meant to be spread across the other zones. And any state you mark as one you have visited is removed from the list you then choose from, so do not mark a state you actually want.",,answer
S-0044,posting_influence,Can I get a PPA at a particular organisation or in a particular city?,"Nobody can tell you in advance which organisation you will be posted to, and no one can promise you a particular company or city. There is no public list of registered PPAs to check either, so for a specific organisation you have to ask your LGI or State Coordinator. What decides it is your course of study and the receiving state's needs. 

The one real lever is a request letter: get the organisation to write to your NYSC State Coordinator on their letterhead, signed and stamped, and submit it at camp registration or to your LGI afterwards.",yes,answer
S-0176,posting_influence,Does a request letter guarantee that NYSC will post me there?,"No, it does not guarantee it. A genuine request letter is free to submit and it is the one lever that genuinely helps, but the decision stays with NYSC. Anyone who offers you a guaranteed outcome for a fee is a scammer.",,answer
S-0065,posting_influence,Can I choose my PPA myself?,"Not directly. Your PPA is assigned to you, and there is no option anywhere that lets you name it yourself the way you name your preferred states.",,answer
S-0702,posting_influence,Does my class of degree determine my PPA?,"At the top end it does. NYSC posts first class and distinction graduates to tertiary institutions to serve as lecturers, and first class and second class upper graduates get priority for federal parastatals.

Below that it makes no difference. On a second class lower, third class or a pass, nothing indicates your class of degree changes where you go, and what decides it is your course of study, the receiving state's needs and quota.",,answer
S-0309,posting_influence,My home address changed. Will that affect my posting?,"Not which state you get. That runs on the preferred states you picked at registration, your state of origin and state of study being excluded, each state's capacity, your course of study and quota, and your address is not in that list.

Where it can matter is smaller and later. Once you already know your state, telling NYSC where in that state you are living can influence which local government area or PPA you land in. That is a within state detail rather than something that changes the state itself.",yes,answer
S-1226,posting_influence,Is it only Lagos camp that accepts PPA request letters?,"No, it is not only Lagos. A request letter is submitted at camp registration wherever your camp is, or to your LGI after camp. The letter itself has to come from the organisation, addressed to your NYSC State Coordinator, on their letterhead, signed and stamped.",yes,answer
S-0209,posting_influence,Can anyone influence or manipulate my posting?,"No, and there is no channel for it. NYSC does not sell state postings, PPA placements or redeployments, and anyone offering to guarantee one for a fee, including someone claiming to be NYSC staff, is a scammer. Corps members caught trying to pay for a posting can face disciplinary consequences on top of losing the money.",,answer
S-1221,posting_influence,I relocated to another state. Do I need a request letter for the organisation I want to work with?,"You do not need one. After your relocation is approved, your new PPA is assigned and appears on your dashboard. A request letter is only how you ask for a particular organisation, so if you have one in mind, get them to write to your NYSC State Coordinator on their letterhead, signed and stamped, and submit it to your LGI in your new state.",yes,answer
S-1416,posting_influence,Can I choose the state I get posted to?,"Not exactly. What you get is a list of preferences rather than a choice, and the final call is NYSC's.",,answer
S-1419,posting_influence,Can I take a request letter to camp?,"Yes, camp registration is exactly when to hand it in.",,answer
S-1421,ppa_change_request,"Can I still change my PPA after documentation, or after months there, or after changing once already?","Yes, you can still ask for a change. Finishing your documentation at the secretariat or at your former PPA's LGA does not stop you, having already changed once does not either, and there is no fixed time window for asking. Start with a rejection letter from your current PPA's head stating they cannot keep you, then take that with a written request explaining your reason to your LGI or your State Coordinator's office. A long delay makes your case harder to argue, but it does not rule it out.",,answer
S-0296,ppa_change_request,Will changing my PPA cause problems later?,"An official change causes no problems. Your allowance is not affected by it, and once your new posting letter comes you report to the new PPA, collect their acceptance letter and do fresh documentation with the new LGI. What does cause problems is leaving your current PPA before the approval arrives, because that counts as absconding.",,answer
S-0107,ppa_change_request,Can I stay at my old PPA after the change has already gone through?,"No. Once the change shows on your dashboard the new PPA is the one that signs your monthly clearance, so staying at the old one leaves nobody able to clear you and reads as not reporting at all. Report to the new PPA, collect their acceptance letter and do your documentation with the new LGI.",yes,answer
S-0583,ppa_change_request,Is a rejection letter compulsory before reposting?,"Treat it as required. Some corps members say an acceptance letter from the new organisation is enough on its own, but that route is not reliable, so the rejection letter from your current PPA's head is the safe default.",,answer
S-0567,ppa_change_request,Can I change my PPA without the LGI or my PPA approving it?,"No. Your LGI is who processes the change and your current PPA has to release you, so there is no route that skips either of them. Simply leaving instead counts as absconding, which is a disciplinary matter rather than a shortcut.",,answer
S-0247,ppa_change_request,Can I change my PPA to another place inside the same local government?,"Yes, and inside the same LGA there is nothing extra beyond the normal change. Get a rejection letter from your current PPA's head stating they cannot keep you, take it with a written request to your LGI or your State Coordinator's office, and they repost you within the same area. Moving to a different LGA is a separate transfer process, and for that one your current PPA has to formally release you before it goes anywhere.",,answer
S-0623,ppa_change_request,I found a PPA myself. Can I be reposted to the one I want?,"You can, and the lever is an acceptance letter from the place you want. Wanting something more suitable is not accepted as a reason by itself, so get the new organisation to write that they will take you, put it together with the rejection letter from your current PPA's head, and take both to your LGI or your State Coordinator's office.",,answer
S-1420,ppa_change_request,"Can I change my PPA because the pay is too low, there is no accommodation, or the environment is bad?","No PPA is obliged to pay you anything on top of your NYSC allowance, and none is obliged to house you either, so low pay or missing accommodation is not misconduct on its own. It can still be the reason you give. Put it in writing to your LGI with the rejection letter from your current PPA's head and any evidence you have, and say plainly that you cannot sustain the posting.",yes,answer
S-0861,ppa_change_request,How long does a PPA reposting take?,"Usually about two weeks, and it can stretch to a month depending on your state. Once it is approved you get a new posting letter, then you report to the new PPA, collect their acceptance letter and complete fresh documentation with the new LGI.",,answer
S-1013,ppa_change_request,Will NYSC repost me to another PPA automatically?,"No, nothing moves on its own. A reposting only happens once you ask for it, with a rejection letter from your current PPA's head stating they cannot keep you, taken with a written request explaining your reason to your LGI or your State Coordinator's office.",,answer
S-0983,ppa_change_request,Can I swap PPAs with another corps member?,"There is no set process for swapping with another corps member, so it comes down to what your LGI will accept and practice varies by state. Ask your LGI directly rather than arranging it between yourselves, because on paper you would each still belong to your original PPA, and that is the one that signs your monthly clearance.",yes,answer
S-0146,ppa_change_request,Can I change my PPA in my state?,"Yes, the process is the same in every state. What changes is the timing, usually about two weeks and sometimes up to a month, so ask your LGI what to expect where you are.",,answer
S-1005,ppa_change_request,I already relocated. Can I still change my PPA?,"Yes. Having relocated does not use anything up. Once your new PPA shows on your dashboard in the new state, changing it follows the normal route there: a rejection letter from that PPA's head stating they cannot keep you, taken with a written request to your LGI in the new state.",yes,answer
S-0793,ppa_change_request,How do I request a PPA change?,"Start with a rejection letter from your current PPA's head stating they cannot keep you. Take that, plus a written request explaining your reason, to your LGI or your State Coordinator's office. Approval usually takes about two weeks and can stretch to a month depending on your state. Do not leave your current PPA before the approval arrives, because that counts as absconding.",,answer
S-0070,batch_stream_timing,What decides which batch I am put in?,"You do not choose it, and registering later does not move you into a later batch. Two things decide it automatically. The first is when your institution uploads your Senate List, so a late upload pushes you back no matter when you graduated. The second is your age on your graduation date, which has to be 30 or under, worked out from the date of birth on your JAMB record. Over 30 at graduation means an Exemption Certificate instead of a batch.",yes,answer
S-0564,batch_stream_timing,"I graduated years ago and never registered. Am I still eligible, and when can I register?","The gap does not disqualify you. Eligibility goes by your age on your graduation date rather than your age now, so if you were 30 or under when you graduated you are still eligible today. What you are waiting for is the next registration window.",,answer
S-0211,batch_stream_timing,Does every batch have a Stream 2?,Usually yes. Each batch normally splits into Stream 1 and Stream 2.,,answer
S-0505,batch_stream_timing,"Do Stream 1 and Stream 2 pass out together, and does Stream 2 serve less?","No, the two streams do not pass out together, and no, Stream 2 does not serve less. Stream 2 trails Stream 1 rather than finishing before it, so it is the same one year of service starting and ending later. The size of the gap changes by batch and by year, so there is no fixed number of weeks to plan around.",yes,answer
S-0685,batch_stream_timing,When is the projected POP date for my batch and stream?,"No projected date is published ahead of time. POP comes about a year after your own batch and stream started service, and the two streams do not pass out together, so Stream 2's ceremony trails Stream 1's by a gap that changes each year.",,answer
S-0342,batch_stream_timing,What do NUA and ABU mean on my call-up letter?,"Those are institution codes rather than states. A call-up number runs NYSC, then the institution code, then the year, then a serial number, so NYSC/LAG/2026/008343 is University of Lagos in 2026. NUA is Nnamdi Azikiwe University Awka and ABU is Ahmadu Bello University Zaria.",yes,answer
S-0717,batch_stream_timing,The window closed. Can I still register for this batch or do I prepare for the next one?,If the window has closed you prepare for the next batch rather than the current one. Registration for a batch runs in a single window and you cannot join one whose window has already passed. Which batch you land in then still turns on your institution's Senate List upload rather than on how quickly you register.,,answer
S-0072,batch_stream_timing,"When is the next batch, and will Batch C still go to camp this year?",There is no date to give you until NYSC publishes it.,,answer
S-1422,ppa_change_request,Can I change my PPA after documentation when the school cannot pay and there is no accommodation?,"Yes, you can still ask for a change, but the reason will not carry it on its own. Finishing your documentation at the secretariat does not stop you, and there is no fixed time window for asking. 

On the reason though, no PPA is obliged to pay you anything on top of your NYSC allowance and none is obliged to house you, so a school that cannot pay and has no accommodation is not misconduct. Put it in writing anyway, with a rejection letter from your current PPA's head stating they cannot keep you and any evidence you have, and say plainly that you cannot sustain the posting.",yes,answer
S-0870,direct_posting,"Should I use a plug to speed things up, or just go back to my initial state of deployment?","Go back to your initial state of deployment. A plug cannot speed anything up because there is no official channel for it to work through, NYSC has never sanctioned it, and paying puts both your money and your posting at risk with no refund if it fails. The only real route is concessional posting or relocation on health, marital or security grounds, applied for through NYSC itself, so if none of those applies to you there is nothing to fasten and accepting the posting is the quicker path.",,answer
S-0001,camp_kit,Do I need a second pair of white shoes for camp?,"No rule requires a second pair, and camp officials do not check how many you own. It is still worth having one. The canvas NYSC issues is poor and flimsy, wash your only pair and it may not dry before the next parade, rain makes that worse on a muddy posting, and emergency footwear inside Mammy Market is priced up. If you are only bringing one extra, pick a synthetic or rubber pair, because it does not absorb water and dries fast where canvas does not.",,answer
S-0604,camp_kit,"Must camp shoes be tennis shoes, and must they be pure white with no logo?","Any plain white sneaker works, tennis shoes are not the only option. What matters is that it is genuinely all white, with no large contrasting logo or colour panel, because camp dress code is white on white and anything that visibly breaks it stands out at inspection. There is no published spec on how big a logo can be, so the safe choice is none.",,answer
S-0002,camp_kit,"Is a V-neck white T-shirt allowed, or does the neck shape matter?","Neck shape does not matter, V-neck and round-neck are both fine. The requirement is plain white with no prints or logos. Round-neck is the more common default if you would rather not stand out.",,answer
S-1342,camp_kit,"Does the white T-shirt have to be completely plain, and are small logos or a crested polo allowed?","It has to be plain white. Small logos work against that, and so does a crested vest or polo like a Polo Ralph Lauren, so keep those for mufti rather than parade.",,answer
S-0003,camp_kit,Is three white T-shirts enough for camp?,"Three of your own is the common baseline for the three weeks, on top of the two NYSC issues. That is a comfort and laundry choice rather than a camp requirement, so nobody counts them.",,answer
S-1182,camp_kit,Is a waist pouch compulsory in camp?,"Not formally compulsory, but it is the standard carry item and you will want one. Parade and outdoor activities need your hands free and your valuables on you rather than left in the hostel.",,answer
S-0610,camp_kit,"Can my waist pouch be multicolour, or can I use a small backpack instead?","Multicolour is very likely fine. The white requirement covers your T-shirt, shorts and socks, and nothing puts a colour rule on the pouch, though something plain is a reasonable default if you would rather not stand out. A small backpack is the common alternative if you are carrying more, just bulkier during drills, and avoid a camouflage print given the uniform context.",,answer
S-1388,camp_kit,What should I keep in my waist pouch at camp?,"Your phone, cash, ID and small valuables. The point is keeping them on you during parade and outdoor activities rather than in the hostel.",,answer
S-0615,camp_kit,Am I allowed to customize my khaki?,"No. NYSC management has publicly called reshaping or slim-fitting khaki trousers defacing the uniform, and camp guides consistently describe altered khaki as something that can get you punished. Wearing a custom-made set instead of what you are issued is not allowed either. The one thing you can do is buy a replacement or spare set from approved camp vendors if your issued size does not fit or wears out.",,answer
S-1204,camp_kit,"How many mufti outfits do I need, and when can I wear them?","Three to five outfits is the common baseline. You can wear mufti in the evenings, at weekends and during off-parade hours, but not during drills, parade or official activities, where the white or khaki dress code applies.",,answer
S-1208,camp_kit,Is it compulsory to bring a bucket to camp?,"Not formally compulsory, but treat it as essential. Bathrooms and laundry are shared and water is often stored rather than running, which is why nearly every packing list includes one.",,answer
S-0216,camp_kit,How do I get my NYSC uniform if mine got lost in transit?,"Your NYSC kit is not something you would have been carrying. The khaki, vest, T-shirt and boots are issued to you at camp after you register and collect your state code, so they reach you regardless of what happened on the way. For your own things, the extra whites and the pouch, there is no NYSC replacement process, and the usual fix is buying replacements from vendors in Mammy Market once you arrive, normally at a markup.",,answer
S-1209,camp_kit,What challenges should I expect during registration and camp?,"The ones people report most are documentation gaps at the gate, long queues, issued kit that fits badly, unreliable power, and shared bathrooms and laundry. Most of the packing advice exists to absorb exactly those.",,answer
S-0292,name_correction,Can I correct my name on the portal after I have already registered?,"Yes, you can. A spelling or word-order fix is still done on your dashboard after registration. Do it promptly though, because NYSC's own FAQ says corrections are only entertained within three months of your online registration date.",,answer
S-1280,name_correction,Can a name discrepancy actually stop me getting into camp?,"Yes, and which records disagree is what decides it. A mismatch between your school's Senate List submission and your JAMB Matriculation List blocks registration outright. A JAMB against statement-of-result difference has to be fixed before you can be reliably cleared. A NIN or BVN difference on its own generally does not stop you.",,answer
S-0035,name_correction,Can I use my school records to correct a name difference on the NYSC portal?,"Only for one kind of change. If a whole name has to be added or removed, your institution's Student Affairs Officer has to write to NYSC for you, and your school records are what they act on. A spelling or word-order fix does not involve your school at all, you do that yourself on your dashboard.",,answer
S-0055,name_correction,I have two conflicting middle names in my records. How do I resolve it?,"Fix it at JAMB, because that is the record NYSC checks against. JAMB's Correction of Data runs on the eFacility portal and costs 2,500 naira for a date of birth, plus the CBT centre's service charge, and it needs your supporting documents and your institution's approval. Do not count on Regularization as the fallback if you miss it: that is a separate JAMB service for admission cases rather than a general second chance at a personal-data correction. Start it as soon as you know something is wrong.",,answer
S-0104,name_correction,My NIN and my statement of result do not match my JAMB name. What should I do?,"Go by JAMB, because that is the reference NYSC's checks use. A NIN difference on its own generally does not block registration, but a JAMB against statement-of-result difference does need fixing first.",,answer
S-0477,name_correction,My middle name is missing from or extra on one record. Will that stop me being mobilised?,"A missing or extra middle name between JAMB and your statement of result is the kind of difference that does need fixing, because NYSC checks those two against each other. It is not a bar to being mobilised once you clear it.",,answer
S-0291,name_correction,"Why is my name arranged differently across JAMB, my school records and my result?","Nothing keeps those records in step with each other, so differences are common. What matters for NYSC is that your JAMB record and your school's submission agree, so that is the pair to line up rather than every document you own.",,answer
S-0916,name_correction,Can I use an affidavit if my certificate and my passport have different names?,"Yes, an affidavit is accepted for a general name difference between documents like your certificate and your passport. It is not accepted for a date-of-birth correction, so do not assume it covers everything.",,answer
S-0721,name_correction,JAMB told me to change the name on my NIN to match JAMB. Is that right?,"That advice is right, even if it feels backwards. NYSC's checks treat your JAMB record as the reference point, so aligning your NIN to JAMB is the direction that removes the problem rather than creating another one.",,answer
S-0027,senate_list_status,My school says my name has been uploaded but the portal shows no record found. What should I do?,"No record found means one of two things: your school has not actually uploaded you yet, or what they did upload does not match the details you are searching with. Search again using your matriculation number, surname and date of birth exactly as your school holds them, and if it still returns nothing, take it to your school's Student Affairs or Mobilisation Office and ask them to check your record and re-upload it. NYSC cannot add you from their end, they only publish what your school sends.",,answer
S-0236,senate_list_status,The portal shows no record or an error even though my school says it sent my name. Should I go ahead with registration?,"No, and there is nothing to go ahead with. Registration only opens to you once your name comes up on the uploaded Senate List, so while the portal is still returning an error or no record there is no way past it from your side. Get your school's Student Affairs or Mobilisation Office to check your record and re-upload it, then search again with your matriculation number, surname and date of birth.",,answer
S-0033,senate_list_status,Can I register if my name is on the graduation list but not yet on the Senate list?,"No. The graduation list is your school's own record and NYSC does not read it, so being on it does not clear you for anything. Registration only opens to you once your name is on the Senate List your school uploads, and there is no NYSC-side way to register before your name appears on it. 

Pressing your school's Student Affairs or Mobilisation Office to submit is the only lever you have, and if your school misses your registration window entirely you roll into the next batch rather than losing your place.",,answer
S-0115,senate_list_status,"Is it possible for my name to be on the Senate list but not the graduation list, or the other way round?","Yes, either way round. Your graduation list and your Senate List are two separate records your school compiles, so one can be ready while the other has not been uploaded. The one NYSC reads is the Senate List, and you cannot register until your name is on it, so if the graduation list is out and your Senate List entry is not, follow up with your school's Student Affairs or Mobilisation Office.",yes,answer
S-0326,senate_list_status,"Is the Senate list out, and is the Batch B Stream 2 one out online?","There is no single Senate List that comes out on a date, and none is released per batch or per stream either. Each institution compiles and uploads its own, so the only thing there is to check is whether your own school has uploaded you. Go to the NYSC Senate List portal, pick your institution, then enter your matriculation number, surname and date of birth and search.",yes,answer
S-0149,senate_list_status,When will the uploading of graduates into the Senate list end?,"There is no published closing date for it. What decides it in practice is your own registration window: if your school's submission misses that window entirely you miss the batch and roll into the next one, through no fault of yours. So the thing to watch is your registration window rather than a cutoff date, and keep pressing your school's Student Affairs or Mobilisation Office while it is still open.",yes,answer
