intent,paraphrase
service_abscondment,"If I abscond during service, do I repeat the whole year or just the absent period?"
service_abscondment,What is the penalty for absconding from NYSC?
service_abscondment,Can someone reported for absconding be mobilized again?
service_abscondment,What happens if I abscond during my service year?
service_abscondment,Does absconding mean repeating the entire NYSC year?
jamb_regularization,Can I register for NYSC while waiting for JAMB regularization?
jamb_regularization,Is JAMB regularization compulsory before NYSC registration?
jamb_regularization,Do I need JAMB condonement after part-time OND and full-time HND?
jamb_regularization,Must JAMB regularization reflect before I can register?
olevel_fslc_requirement,Is the FSLC needed for NYSC camp?
olevel_fslc_requirement,Do I need my original O-level certificate for NYSC registration?
olevel_fslc_requirement,Is an O-level certificate required to register for NYSC?
olevel_fslc_requirement,Does NYSC ask for the First School Leaving Certificate?
logistics_budget,How much money do I need for NYSC camp?
logistics_budget,What's a reasonable budget for orientation camp?
logistics_budget,Can I survive camp on a small budget?
logistics_budget,How much should I take to camp?
nerd_clearance_process,How much is the NERD application fee?
nerd_clearance_process,Is NERD registration compulsory for those not deployed last registration?
nerd_clearance_process,How do I get the NERD clearance slip?
nerd_clearance_process,What is the NERD clearance process about?
relocation_cost,How much does in-camp relocation usually cost?
relocation_cost,Can I apply for relocation without an agent?
relocation_cost,How much is fast relocation between states?
relocation_cost,What are the costs involved in relocating?
leave_travel_during_service,Can I take leave during my service year?
leave_travel_during_service,Am I allowed to travel abroad during service?
leave_travel_during_service,Can I attend a wedding during service?
leave_travel_during_service,Is sick leave permitted during NYSC?
state_code_meaning,What does a state code like RV/12A/0074 mean?
state_code_meaning,What is the meaning of the NYSC state code?
state_code_meaning,What does RV stand for in a state code?
state_code_meaning,How do I read my NYSC state code?
professional_study_during_service,Can I take professional courses as a corper?
professional_study_during_service,Is it advisable to do HSE or NIM during service?
professional_study_during_service,Can I study for a professional certification during NYSC?
professional_study_during_service,Which certified courses can I run during my service year?
camp_items_allowed,Am I allowed to bring a phone into camp?
camp_items_allowed,Is my phone allowed at orientation camp?
camp_items_allowed,Which gadgets am I allowed to bring to camp?
camp_items_allowed,Which electronics are banned in NYSC camp?
camp_items_allowed,Am I allowed to bring a camera into camp?
camp_items_allowed,Can I come to camp with my own devices?
camp_kit,What items does NYSC give you at camp?
camp_kit,What will NYSC provide when I get to camp?
camp_kit,Which things are issued to corps members at orientation camp?
camp_kit,Does NYSC give you uniform and shoes at camp?
camp_kit,What do they hand out during camp registration?
camp_kit,What am I expected to bring to orientation camp myself?
