category,intent,question_count,faq_coverage,faq_source,source_url,find_in_source_ctrlF,faq_note,answer_type,answer,chat_answer,follow_up_trigger,follow_up_answer,answer_confidence
Registration & Eligibility,callup_number_vs_letter,5,Partial,MOBREG,https://www.nysc.gov.ng/mobreg.html,SMS,Paying the fee gets call-up number via SMS + online letter printing; not paying means collecting both from school instead.,Statement,"A call-up number and a call-up letter are two different things, and having one isn't an instant guarantee the other has arrived yet.

Your call-up number is a unique tracking code, similar to a matric number, generated after you complete registration and payment. It confirms your mobilisation record is valid and moving forward, but on its own it doesn't show your state of deployment.

And yes, NYSC still issues call-up numbers under the fully online registration system. That part hasn't changed.

The call-up letter is the actual document naming your posted state, camp address, and reporting date. It's your entry pass into camp, you can't register at orientation camp without it.

In the large majority of cases a valid call-up number for a batch is followed by a call-up letter for that same batch, since NYSC releases numbers in stages ahead of full mobilisation. The two don't appear at the exact same moment though, so a short gap between them showing on your dashboard is normal, not a sign something's gone wrong.

Whether you paid the online registration fee changes how you access both. Paying it gets you an SMS notification plus online printing for both documents. Not paying means collecting them physically through your institution instead.","They're different documents. Your call-up number is a tracking code generated after registration and payment, and on its own it doesn't show your state. The call-up letter names your state, camp and reporting date.",,,"Cross-validated across 6+ independent current sources, plus this project's own pre-existing note on the fee/access split (paid vs. unpaid registration route). No single official NYSC statement was found describing the exact timing gap between number and letter release, but the mechanics converge consistently everywhere checked."
Registration & Eligibility,missed_posting_consequence,5,Not covered,-,,,Not addressed.,Statement,"There's no formal punishment, and no ""you must wait a full year"" rule, for simply not reporting to camp after being posted. Not showing up to camp carries no disciplinary penalty, unlike abandoning service mid-way.

What actually happens is administrative rather than punitive. Your case sits until the next registration window opens, at which point you revalidate to be reprocessed into a new batch. There's no separate punishment-track application, but you can't be reprocessed into the same batch cycle you missed, only the next one.

There's no guaranteed minimum or maximum wait, it depends purely on when NYSC next opens the portal for a new batch, typically the next batch in the A, B, C yearly cycle rather than a fixed one-year penalty. That specific ""you must wait a year"" claim isn't supported and is best treated as a myth.

Whether you land in the same state again isn't guaranteed either way. Most people report keeping the same state on revalidation, but NYSC can and does assign differently depending on slot availability, so a change is possible without it being something you can plan around.","There's no punishment for simply not reporting to camp, unlike abandoning service mid-way. Your case waits until the next registration window, when you revalidate to be reprocessed into a new batch.",,,"Cross-validated -- the no-formal-penalty / revalidation-is-the-fix mechanic reuses this project's own confirmed disciplinary_query finding per the self-containment rule; the 'no guaranteed one-year wait' correction is drawn from 6+ independent current sources consistently describing the wait as 'until the next available batch,' not a fixed year."
Registration & Eligibility,jamb_name_mismatch,5,Not covered,guide,https://www.androidpols.com.ng/2026/02/jamb-matriculation-list-2026-how-to.html,No JAMB Detail Found,Not in official onlinefaq.pdf/mobreg.html -- sourced from current independent guides describing the portal cross-check mechanism directly.,Statement,"What matters isn't the literal wording on your physical JAMB admission letter, but whether your name on your school's Senate List submission matches JAMB's Matriculation List record for you. NYSC's portal cross-checks these two directly during registration, a mismatch there blocks registration with an error like ""No JAMB Detail Found"" or ""Matriculation Number not found.""

So if your school submitted your correct name to NYSC and your Senate List entry is clean, a difference on the JAMB admission letter itself, like a missing name or different order, generally doesn't block your mobilisation or camp entry, your school's submitted record is what's checked, not the JAMB letter's exact wording.

The real problem arises at an earlier gate: if your school refuses to release your certificate or statement of result because of the JAMB naming discrepancy in the first place, you can't register at all, regardless of what NYSC itself would have accepted. That's a school-side block, not an NYSC one.

To resolve it, start with your school's registrar or student affairs office, not JAMB directly, since your school is the one that originally submitted your name to JAMB, so they can issue a correction letter more easily. Take that letter to JAMB for a name correction via the Late Application, or Regularization, option on the JAMB e-Facility portal. Current sources mostly cite a ₦10,000 fee, though some report a ₦5,000 to ₦20,000 spread, so confirm the exact figure on the portal before paying. Processing commonly takes 4 to 8 weeks after your institution submits the endorsed Indemnity Form, though some report it faster, 1 to 3 weeks, and others up to 12 weeks. Start this as early as possible if you're trying to make a specific graduation or batch list.","What matters is whether your name on your school's Senate List matches JAMB's Matriculation List, since NYSC cross-checks those two. A difference on the physical JAMB admission letter itself generally doesn't block you.",,,"Medium-high -- the Senate-List-vs-Matriculation-List cross-check mechanism and its specific error messages are confirmed by a detailed current (Feb 2026) source, resolving the ambiguity the previous answer had flagged as unresolved. The regularization fee and timeline are confirmed but with a real spread across sources (fee: mostly ₦10,000, some cite lower/higher; timeline: mostly 4-8 weeks, some faster or slower) -- flagged as a range rather than a single number. AUDITED."
Registration & Eligibility,course_of_study_correction,5,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Course,"Login to dashboard > Correction of Course of Study link > select correct course > Send Request. Approval is done by your institution's Student Affairs Officer (SAO), not NYSC.",Statement,"Course of study is corrected via the ""Correction of Course of Study"" link on your NYSC dashboard, where you select the correct course and submit. The actual approval comes from your institution's Student Affairs Officer, not NYSC directly, since NYSC is only reflecting what your school uploaded to the Senate List.

If your school itself uploaded the wrong course, the fix has to happen at your school's end, with Student Affairs or Exams and Records correcting and re-uploading, not purely on the NYSC portal. The portal request routes back to your institution for confirmation before NYSC updates anything.

You can't be mobilized if your school hasn't uploaded your academic details at all. Mobilization depends entirely on your school first uploading your Senate List entry, and NYSC has zero visibility of you until that happens.

One thing worth knowing: NYSC's own official FAQ states corrections are only entertained within three months of your date of online registration. Get any of these resolved well within that window rather than letting it linger.","Use the Correction of Course of Study link on your dashboard, but approval comes from your institution's Student Affairs Officer, since NYSC only reflects what your school uploaded to the Senate List.",,,"Cross-validated -- the correction mechanism (dashboard request routed through the institution's SAO) is described consistently across many independent current guides and is directly confirmed in NYSC's own official onlinefaq.pdf. The graduation-year-as-institutional-error framing reuses the same reasoning already confirmed for senate_list_status in this dataset, per the self-containment rule. TRIMMED this pass (T-6): graduation-date correction content cut to a cross-reference; owned by graduation_date_correction (its own Conditional)."
Registration & Eligibility,exclusion_letter_process,5,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Exclusion Letter,Part-time graduates register online and print their Exclusion Letter from the dashboard. 'NERD' terminology not specifically addressed.,Conditional,"The Exclusion Letter is issued specifically to graduates whose mode of study, like part-time, distance learning, or a sandwich programme such as NOUN, disqualifies them from full NYSC service. You register through the same NYSC portal process as everyone else, but your journey ends after online registration, no call-up letter, no camp.

The Exclusion Letter is not collected physically at your institution the way the Exemption Certificate is. It's a digital document you download and print yourself from your NYSC dashboard once processed. Both Nigerian and foreign-trained excluded graduates print the Original Letter of Exclusion online themselves.

The Exemption Certificate, for over-30s and other non-mode-of-study exemptions, is the one collected physically at your institution, don't confuse the two collection methods.

Requirements typically include your confirmed Senate List entry and your original statement of result or certificate. Printing it online carries a processing fee, reported around ₦2,786.24 in current sources. It typically becomes available around the same time as call-up letters are for everyone else, sometimes slightly before or after, with no fixed date, so keep checking your dashboard rather than waiting for a physical collection notice.","An Exclusion Letter goes to graduates whose mode of study, like part-time, distance learning or a sandwich programme, disqualifies them from full service. You download and print it yourself from your dashboard.","Are you trying to collect a letter you're eligible for, or contesting one you don't think you should have received?","collecting -> Confirm your Senate List entry, gather your documents, pay the online printing fee if applicable, and check your dashboard regularly since it's a self-print digital document with no fixed release date and no physical institution pickup || contesting -> This is a classification issue, not a document-collection issue, for example you registered expecting a call-up number for service but got an exclusion or exemption message instead, and believe your qualification should count as full-time. NYSC's system is going by what your institution submitted, so the correction has to come from your school's Student Affairs Officer requesting a re-classification, NYSC itself won't resolve this from the portal directly","Medium-high -- the digital, self-print-from-dashboard nature of the Exclusion Letter (as opposed to physical institution collection) is directly confirmed by NYSC's own nysc.gov.ng certification page and corroborated by multiple independent 2025/2026 guides -- this corrects the previous version of this answer, which incorrectly stated it's collected at the institution like the Exemption Certificate. The processing fee figure (N2,786.24) is corroborated by at least one current source. The 'contesting a wrongly-issued letter' branch is based on the general SAO-escalation pattern used elsewhere in the dataset rather than a directly documented NYSC procedure for this specific dispute -- treat it as a reasonable next step, not a confirmed official process. REKEYED this pass (C1 mechanical rekey, per BUCKET_AB_FINDINGS.md's clean-24 list): content unchanged, labels converted to canonical keys."
Registration & Eligibility,jamb_regularization,4,Not covered,-,,,Not addressed.,Conditional,"Whether JAMB regularization is compulsory depends on how you gained your admission. If you were admitted without a JAMB registration number, common for direct ND or part-time entrants, or where your school ran its own admission process, yes, it's compulsory. Without it you can't proceed with NYSC registration, since NYSC's mobilization checks require a valid JAMB registration number tied to your admission.

Regularization itself is normally processed within about 24 hours after your institution submits your stamped indemnity form, and can be done at any time, it has no deadline. You can complete it while still finishing other registration steps, but you generally can't complete final NYSC registration until it's reflected.","Whether it's compulsory depends how you were admitted. If you got in without a JAMB registration number it is compulsory, because NYSC's mobilisation checks require one tied to your admission.","Did you gain admission without a JAMB registration number in the first place, or are you asking about moving from a part-time ND to a full-time HND?","no_jamb_at_admission -> Regularization is compulsory and sufficient. Complete it as described above and proceed once it reflects || nd_to_hnd -> Regularization is compulsory if you were admitted without a JAMB registration number, and it's normally processed within about 24 hours once your institution submits your stamped indemnity form.
Do it before you try to complete NYSC registration, since your name can't be validly uploaded to the Senate List without it.","The general compulsory-regularization-for-no-JAMB-number rule and its processing timeline are cross-validated across many consistent independent guides. The part-time-ND/full-time-HND uncertainty is flagged as a genuine, sourced policy conflict (JAMB's own statement via @JAMBHQ, dated 6 Nov 2025, vs. older guides describing regularization as sufficient), not guessed at -- and a Dec 2025 forum report confirms this is a live, unresolved dispute, not a settled myth. REKEYED this pass (C1 mechanical rekey, per BUCKET_AB_FINDINGS.md's clean-24 list): content unchanged, labels converted to canonical keys."
Registration & Eligibility,olevel_fslc_requirement,4,Not covered,-,,,Not addressed.,Statement,"NYSC does require your original O-level result, WAEC, NECO, GCE, or equivalent, for registration and camp documentation. NYSC's own registration guidance is clear that an online result printout isn't accepted in place of the original certificate.

If your name is arranged differently across your WAEC, JAMB, and degree certificate, for example the name order is swapped, that's a common and generally fixable issue through the dashboard Name Correction request, not an automatic disqualifier. Still worth correcting rather than leaving unresolved, to avoid identity-matching problems later, like job applications or professional bodies.

Your First School Leaving Certificate, your primary school certificate, doesn't appear on any NYSC document checklist. It's not required for registration or camp.","Your original O-level certificate isn't on the standard camp checklist for Nigerian-trained graduates, your degree or statement of result is what's checked. Foreign-trained graduates do need an original O'level certificate at verification.",,,"O-level-original-required is officially confirmed via nysc.gov.ng/foreignmobreg.html and consistent across domestic document checklists -- high confidence. FSLC-not-required is an absence-of-requirement finding (no source lists it as needed) rather than a source directly stating 'not required,' so it's flagged as reasoned rather than officially confirmed. The name-order-mismatch guidance reuses this project's own name_correction findings per the self-containment rule."
Registration & Eligibility,nerd_clearance_process,4,Partial,guide,https://nyscblog.com.ng/952/nerd-clearance-for-nysc,must be done through an officially accredited agent,Not in official onlinefaq.pdf/mobreg.html. Corrected from prior audit pass: self-enrollment for domestic graduates has been discontinued per current 2026 guides.,Statement,"The NERD clearance fee is most consistently cited as ₦10,000 flat at an accredited NERD Digital Service Centre, though some sources give a wider ₦10,500 to ₦20,000 range depending on the agent. Confirm with an accredited centre directly before paying, since this has genuinely varied over the policy's rollout.

Self-enrollment isn't generally available anymore for Nigerian-trained graduates. Self-service registration existed early in the NERD rollout, which is why some people still describe enrolling by themselves using their phone, but current sources confirm that option has been discontinued for domestic graduates. Registration must now go through an officially accredited NERD agent or Digital Service Centre, who handles the upload and verification on your behalf. Only foreign-trained graduates self-enroll, through a separate NERD portal specifically for them.

NERD compliance became mandatory by federal directive effective October 6, 2025, with full enforcement applying to graduates mobilising for NYSC from January or February 2026 onward. One specific exemption is documented: 2025 Batch C Stream 2 graduates, whose mobilisation began before the policy took effect. If your prior registration falls in or after the January or February 2026 mobilisation cycle, NERD compliance applies to you even if you weren't deployed from that earlier attempt. If your case doesn't clearly match the documented Batch C Stream 2 exemption, confirm directly with NYSC or NERD rather than assuming exemption.

There's no separate downloadable NERD clearance slip form to request in advance. The slip is generated automatically once your project or thesis is uploaded and verified, and you retrieve it yourself by logging into your own NERD dashboard, where you can download it as a PDF or have it sent to your email.","NERD clearance is most consistently cited at ₦10,000 flat at an accredited NERD Digital Service Centre, though some sources quote up to ₦20,000. Confirm with an accredited centre before paying, since this has genuinely varied.",,,"Medium-high -- the mandatory-accredited-agent requirement for Nigerian-trained graduates is confirmed by multiple current (2026) sources and corrects the previous answer's claim that self-enrollment was generally available -- one source explicitly documents that self-service option being discontinued. The fee is narrower than before but still has a real spread (₦10,000 vs up to ₦20,000) across sources -- flagged rather than resolved to one number. The Batch C Stream 2 exemption is specifically documented; broader exemption claims beyond that case are not. AUDITED."
Registration & Eligibility,profile_data_error,3,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Class of Degree,Class of Degree and Qualification corrections follow the same dashboard flow as course correction; approval is by institution's SAO.,Statement,"Correction of Qualification, for example BA showing instead of BSc, and Correction of Class of Degree, for example third class showing instead of 2:1, are both real, named links on your NYSC dashboard, not something you have to escalate informally.

For a wrongly-recorded degree class specifically, correct it via the dashboard request, and also contact your Student Affairs Officer to expedite your institution's confirmation, since approval is effectively institution-driven. It's worth fixing promptly too, a reported case describes the erroneous grade ultimately being what's printed on your final NYSC certificate if it isn't fixed in time, since NYSC's own records, not your actual transcript, are what the certificate is generated from.

On gender showing incorrectly on your mobilization list, this doesn't carry the eligibility, posting, or documentation consequences that name or DOB errors can. It's a portal data-accuracy issue worth correcting via the same dashboard channel, but not something that causes a problem while it's being fixed.

One thing worth knowing: NYSC's official FAQ states corrections are only entertained within three months of your date of online registration. Don't let any of these linger past that window.","Correction of Qualification and Correction of Class of Degree are both named links on your dashboard. Submit there, then contact your Student Affairs Officer, since approval is effectively institution-driven.",,,"The qualification/class-of-degree correction mechanism is directly confirmed in NYSC's own official onlinefaq.pdf and consistent independent guides; the certificate-consequence point comes from a real reported case rather than an official statement. The gender-error no-consequence conclusion is reasoned from the absence of any source flagging it as consequential, not a positive confirmation -- flagged accordingly."
Registration & Eligibility,registration_slip_printing,3,Not covered,-,,,Not addressed.,Statement,"Your registration or green slip can't print because it's gated by your evaluation status, not a printing bug on your end. Three common causes: an unconfirmed or still-processing Remita payment, NYSC releasing evaluations in stages rather than all at once, or your institution's Senate List submission still being processed on NYSC's end.

Check your dashboard's evaluation status first. If it still says ""not yet evaluated,"" printing simply won't be available regardless of how many times you retry, this generally resolves with time rather than requiring you to do anything differently.","Printing is gated by your evaluation status, not a bug on your end. If your dashboard still says not yet evaluated, the slip won't print no matter how often you retry.",,,"Cross-validated -- directly reuses this project's own already-confirmed green_card_printing findings per the self-containment rule; this intent is effectively the same underlying issue phrased differently, not a separately-sourced fact."
Registration & Eligibility,portal_evaluation_status,3,Not covered,-,,,Not addressed.,Statement,"""Not evaluated"" on your dashboard means NYSC hasn't yet processed and confirmed your registration against your school's Senate List and your payment. This gates not just your green slip but visibility of your batch and deployment state too.

If your dashboard is stuck showing an old batch label, for example still ""Batch A,"" while classmates who registered alongside you have moved to ""Batch B,"" this is most consistent with a lag in your own record being re-evaluated rather than you being excluded. There's no official escalation path beyond waiting and checking periodically, though visiting your state's NYSC secretariat in person is a common way to get a manual look at a stuck record.

Similarly, a deployment state not showing after you already have a call-up letter is usually a temporary dashboard sync or upload-lag issue rather than a sign of an actual problem. Dashboard lag like this shows up elsewhere in the system too, and it's rarely something personal to your record.","Not evaluated means NYSC hasn't yet processed your registration against your school's Senate List and your payment. It gates your slip, your batch and your deployment state until it clears.",,,"Reasoned/commonly-reported -- reuses this project's own confirmed 'evaluation gates access' and 'dashboard lag is common, not personal' patterns from green_card_printing and monthly_clearance per the self-containment rule; no official NYSC source addresses these specific stuck-dashboard scenarios directly."
Registration & Eligibility,state_of_origin_correction,2,Not covered,-,,,Not addressed.,Statement,"Proceed with registration. A state-of-origin error isn't something NYSC lets you correct on the portal, and it doesn't block or invalidate your registration. NYSC has stated directly that they don't change your state of origin, because it's pulled straight from the JAMB database recorded at the time of your admission, not something NYSC captures independently.

The one real consequence: you simply can't be posted to whatever state is incorrectly showing as your state of origin, since NYSC generally avoids posting corps members to their own recorded state of origin. Beyond that, it doesn't affect your eligibility, registration, or any other part of the process.

If the error genuinely needs fixing for reasons beyond NYSC, for example it's wrong on JAMB itself, that's a JAMB-side correction, separate from NYSC.","NYSC doesn't change your state of origin, because it's pulled from your JAMB record at admission. It doesn't block registration, but you can't be posted to whatever state is showing.",,,"Cross-validated -- directly via NYSC's own official social-media statement (""NYSC don't change state of origin. That is what is on the JAMB database when you got admission"") plus multiple independent guides describing the same JAMB-origin/no-portal-correction/no-eligibility-impact pattern; consistent, no conflicts found."
Registration & Eligibility,jamb_documents_requirement,2,Not covered,guide,http://nysc-cds.com/article/how-do-jamb-regularization-nysc-registration,JAMB admission letter is not required in camp,"Not in official onlinefaq.pdf/mobreg.html. Previously merged with jamb_name_mismatch content; now a distinct, direct Statement answer.",Statement,"No, your original JAMB result and JAMB admission letter aren't required as physical documents at the orientation camp gate. Camp registration checklists consistently centre on your Call-Up Letter, school ID card, Statement of Result or Degree Certificate, NYSC Green Card, and a medical fitness certificate, JAMB documents aren't part of that at-camp list.

Where JAMB does matter is earlier and indirectly, at the online registration stage, not as a document you physically present. Your school submits your details to NYSC's Senate List, which the NYSC portal cross-references against the JAMB Matriculation List. If your JAMB record doesn't match up, online registration itself can be blocked with an error like ""No JAMB Detail Found,"" but this is resolved before you ever get to camp, through your school and JAMB, not by carrying the physical letter.

A few older or online-registration-focused checklists do list a JAMB admission letter among documents to have ready for the registration or upload stage. If you're asked for it there, that's a portal-upload context, separate from the physical camp-gate checklist described above.","No, your original JAMB result and admission letter aren't required at the camp gate. JAMB matters earlier and indirectly, at online registration, through your school's Senate List submission.",,,"Medium-high -- the camp-gate document checklist (which excludes JAMB documents) is consistent across multiple current, detailed 2026 guides, and one source explicitly confirms the JAMB admission letter is not required at camp for clearance. The online-registration-stage mention of JAMB documents in some guides is noted but not deeply verified, since it does not affect the core answer. AUDITED."
Registration & Eligibility,admission_year_correction,2,Not covered,-,,,Not addressed.,Statement,"There's no dedicated, self-service ""year of admission"" correction link comparable to the Course of Study or Date of Birth correction tools on the NYSC dashboard. This field is pulled from your JAMB or school admission record the same way course of study and graduation year are, so a genuine error in it needs the same route: through your institution's Student Affairs Officer confirming the correct data to NYSC, rather than a direct self-edit.

Corps members have reported the year-of-admission field showing blank or ""0"" on their Green Card while every other detail, like graduation year and mobilization eligibility, is correct, and this hasn't been reported to cause a mobilization problem on its own. NYSC's disqualification checks focus on graduation date, age, and course or degree data, not specifically on year of admission being populated.

If your call-up number hasn't appeared yet and the portal didn't capture your year of admission, that's most likely a portal display or processing gap rather than a rejection, keep checking your dashboard rather than assuming it's a blocking error.","There's no self-service correction link for year of admission. Like course of study it's pulled from your admission record, so a genuine error routes through your institution's Student Affairs Officer.",,,"The ""field showing 0 doesn't block mobilization"" point comes from a real reported case with a direct (if informal) confirmation. No official NYSC source specifically addresses year-of-admission correction as its own documented process, so the correction-routing advice is reasoned by analogy to course-of-study/graduation-date correction, not separately confirmed."
Registration & Eligibility,bvn_name_mismatch,2,Not covered,-,,,Not addressed.,Statement,"A BVN with an extra name compared to your school or NYSC records, for example three names on BVN versus two on your school documents, is generally the lower-risk kind of mismatch. For opening your NYSC allowance account in camp, only your first name and surname on the BVN are actually checked against your documents, so an additional middle name on one record and not the other typically doesn't block account opening.

What matters more is your BVN name not matching your NYSC or school name at all, or the surname or first name themselves differing, not just an extra middle name. That kind of mismatch can delay or block account opening and needs fixing beforehand. Visit your bank with your NIN slip and an affidavit to align your BVN name with your correct NIN or school name, ideally before camp, since fixing it after camp is possible but slower and holds up your first allowance payment while it's resolved.

Name arrangement or order alone, meaning names in a different sequence, doesn't cause a problem, only the actual names matching does.","An extra middle name on your BVN is the lower-risk kind of mismatch, since only your first name and surname are checked when opening your camp account. A surname or first-name difference matters far more.",,,"Cross-validated across several independent, consistent current guides on the first-name-and-surname-only BVN check and the affidavit-based bank correction process. The ""extra middle name specifically is usually fine"" framing is a reasonable direct inference from that confirmed first-name/surname rule, not a source stating it in exactly those terms -- flagged as an inference from a confirmed fact."
Registration & Eligibility,place_of_birth_correction,1,Not covered,-,,,Not addressed.,Statement,"Place of birth is one of the profile fields NYSC allows a correction request for during online registration, through your dashboard's correction request options, which for most non-name, non-DOB fields ultimately routes back through your institution or NYSC's own verification rather than being an instant self-edit.

Unlike state of origin, which affects where you can be posted, or date of birth, which affects age eligibility, place of birth doesn't affect your eligibility, posting, or registration. It's a data-accuracy field worth correcting for consistency across your official documents, but a delay or minor discrepancy here isn't described anywhere as something that blocks registration or camp attendance the way a DOB or course-of-study mismatch can.","Place of birth can be corrected through your dashboard's correction request options. Unlike state of origin or date of birth, it doesn't affect your eligibility, posting or registration.",,,"Reasoned -- no NYSC-specific source addresses a place-of-birth correction procedure or consequence directly; this is inferred from how the portal treats similarly low-stakes profile fields, and should be treated as the weakest-sourced answer in this batch."
Registration & Eligibility,institution_details_correction,1,Not covered,-,,,Not addressed.,Statement,"Not freely, no. Your institution isn't a field you can just edit yourself after registration completes, because your entire registration is tied to the Senate List your specific school uploaded you on. NYSC's core corrections, like name, DOB, course of study, and class of degree, are all still anchored to which school uploaded you.

If there's a genuine error in your institution details, the fix routes back through your school's Student Affairs Officer confirming the correct information to NYSC, the same as a course-of-study correction, it isn't something you can self-select a different institution for on the dashboard.

If you're asking because you attended more than one institution, for example ND at one school and HND at another, that's a different situation covered by JAMB regularization, not an institution-details edit. If you were admitted without a JAMB registration number, regularization is compulsory before you can complete NYSC registration, and it's normally processed within about 24 hours once your institution submits your stamped indemnity form.","You can't edit your institution yourself after registration, because your whole record is tied to the Senate List that specific school uploaded you on. Corrections route through its Student Affairs Officer.",,,"Reasoned by direct analogy to the confirmed course-of-study-correction mechanism (same portal, same SAO-routing pattern). No source specifically names ""institution details correction"" as its own distinct process, so this is inferred rather than separately confirmed."
Registration & Eligibility,callup_letter_meaning,1,Not covered,-,,,Not addressed.,Statement,"A call-up letter is the official NYSC document confirming you've been mobilised for service. It states your assigned state of deployment, your orientation camp location, and your reporting date, and it functions as your entry pass into camp, you can't register at camp without it.

It's issued after your online registration is complete, evaluated, and, if applicable, paid for, and becomes available on your dashboard for online printing closer to camp resumption. It's distinct from your call-up number, the tracking code printed on it, and from your Green Card, a separate registration-confirmation slip generated right after you first register, before deployment is even decided.","It's the official document confirming you've been mobilised, stating your state of deployment, camp location and reporting date. It's your entry pass into camp, and you can't register at camp without it.",,,Consistent with this project's own already-established ground_zero_guide description of the call-up letter and confirmed across 6+ independent current sources with no contradiction found.
Posting & PPA,ppa_change_request,54,Not covered,-,,,No PPA-change procedure described in these sources.,Conditional,"You can't switch PPAs just by asking. Start by getting a rejection letter from your current PPA's head, stating they can't accept you. This is the standard first step. Take the letter to your LGI (Local Government Inspector) or your State Coordinator's office, along with a written request explaining why you want to change.

Approval usually takes about two weeks, though it can stretch to a month depending on your state. Once approved, you'll get a new posting letter. Report to the new PPA, get their acceptance letter, and complete fresh documentation with the new LGI.

Your allowance isn't affected by an official change. Just don't abandon your current PPA before approval comes through, since that counts as absconding and can trigger disciplinary action. On fees, there's no single nationwide charge for a PPA change, but some states do ask for a small processing fee as part of the official route, so being asked for one at your state secretariat isn't automatically a red flag. What is a scam is paying an outside agent or middleman to speed up or guarantee a reposting. NYSC doesn't sell PPA changes. If you're unsure whether a fee is legitimate, ask your LGI or the state secretariat directly rather than paying someone who approached you privately.

Some corps members say an acceptance letter from the new organisation works on its own, without a rejection letter. This isn't reliable, so treat the rejection letter as the safe default.

There's also no reliable way to change a PPA through the portal, so don't wait for a portal option to appear. Use the letter route.

Once your State Coordinator approves a change, that decision is treated as final, and your former PPA has no standing to pull you back whatever anyone there says. NYSC reversing its own approved change isn't a documented part of the process, so if it happens to you, take it straight to your LGI or the state secretariat that approved the change, since they hold the record of what actually happened.

There's no fixed time window for requesting a change, and no set process for swapping PPAs with another corps member. For either, ask your LGI directly, since practice varies by state.","Get a rejection letter from your current PPA's head, then take it with a written request to your LGI. Approval usually takes about two weeks. A small state processing fee can be legitimate, but nobody can fast-track it for you.",What's your reason for wanting to change?,"location_issue -> Explain this directly to your LGI and bring evidence, like photos or a police report if it's security related || mistreatment -> Report this specifically to your LGI, it counts as misconduct and strengthens your case || prefer_different -> You'll need an acceptance letter from your preferred PPA first, since ""I don't like it"" alone isn't accepted as grounds || different_state -> That's not a PPA change, that's redeployment, a separate and harder process","Cross-validated on re-check -- the rejection-letter-first process, the acceptance-letter-only minority path (explicitly described elsewhere as a last resort with no guaranteed approval), and the 2-weeks-to-~1-month timing all reconfirmed against independent 2026 sources this pass. A single source's mention of an online portal option for PPA change is added but flagged as uncorroborated. The other specific edge cases (time-limit-on-requesting, PPA swapping, CLO meaning, non-existent PPA) remain explicitly flagged as unverified rather than resolved by guessing."
Posting & PPA,ppa_rejection_reposting,22,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Camp Reposting,"'Printing of Place of Primary Assignment Letter after Camp Reposting' is listed as an available self-service, but the underlying process isn't detailed.",Procedural,"If your assigned PPA rejects you, the organisation notes ""rejected"" on your posting letter and gives you a separate rejection letter. Take it to your LGI, or ZI, at the LGA secretariat. They'll process a repost to a new PPA in the same area, and you can speed this up by already having an acceptance letter from an organisation willing to take you. NYSC will then issue a new posting letter, which you can also download from your dashboard.

A few things to expect. Some organisations resist signing a rejection letter, since it can affect NYSC's willingness to post future corps members to them, so persistence and a clear explanation, like ""this location is too far, I have no way to commute,"" helps. A few corps members also report LGIs initially treating the rejection as if the corper personally refused the post, sometimes even demanding a query form before accepting it as a genuine PPA-side rejection. Stay calm, explain clearly that the PPA rejected you, not the reverse, and escalate to the State Secretariat if the LGI won't cooperate.

This process itself has no fixed nationwide fee, though some states may charge a local processing fee, check with your State Secretariat directly. There's no formal deadline for submitting a rejection letter, and no specific penalty tied purely to being PPA-rejected, since that isn't something you did. That's different from unofficially abandoning a PPA without any rejection letter at all, which is treated as absconding and can trigger disciplinary action.

One important distinction: you personally can't reject your PPA just because you found a better offer elsewhere. A valid rejection has to come from the PPA's side, or you need your own strong documented reason, like location, security, or health, going through the LGI, not simply preferring a different organisation.","If your PPA rejects you, take the rejection letter and your posting letter to your LGI for a repost. You can still do your monthly clearance meanwhile, at the secretariat rather than through the PPA.",," Real-world friction to expect: some organisations resist signing a rejection letter, since it can affect NYSC's willingness to post future corps members to them -- persistence and a clear explanation ('this location is too far, I have no way to commute') helps. A few corps members also report LGIs initially treating the rejection as if the corper personally refused the post, sometimes even demanding a 'query form' before accepting it as a genuine PPA-side rejection -- stay calm, explain clearly that the PPA rejected you (not the reverse), and escalate to the State Secretariat if the LGI won't cooperate. On cost, deadlines, and penalties specifically: this process itself has no fixed nationwide fee, though some states may charge a local processing fee -- check with your State Secretariat directly rather than assume either way. No source confirms a formal deadline for submitting a rejection letter, nor any specific penalty tied purely to being PPA-rejected (which isn't something you did) -- that's different from unofficially abandoning a PPA without any rejection letter at all, which is treated as absconding and can trigger disciplinary action. What repeated rejections over several months mean for POP timing specifically (as in one report of four rejections over six months) isn't addressed anywhere found -- flagged as genuinely unresolved. One more distinction worth being explicit about: you personally cannot 'reject' your PPA just because you found a better offer elsewhere -- a valid rejection has to come from the PPA's side (they decline to take you), or you need your own strong documented reason (location, security, health) going through the LGI, not simply preferring a different organisation.","Cross-validated -- core process confirmed via a first-person Medium account and multiple Nairaland-linked threads, which also surfaced the two friction points above that the polished guide sites left out. Newly checked this pass: fee variability (state-dependent, not fixed) confirmed via an independent source; no confirmed deadline for submitting a rejection letter or penalty specific to being PPA-rejected -- both explicitly left unresolved rather than guessed at. The multi-month/multiple-rejection POP-timing question also remains unresolved."
